../../data/benign/benign3_0,16861,35286
../../data/benign/benign3_1,16896,35723
../../data/benign/benign3_2,27433,33472
../../data/benign/benign3_3,74415,36519
../../data/benign/benign3_4,36245,30330
../../data/benign/benign3_5,14866,31590
../../data/benign/benign3_6,15566,33103
../../data/benign/benign3_7,15239,32703
../../data/benign/benign3_8,15459,32687
../../data/benign/benign3_9,14987,32153
../../data/benign/benign3_10,46771,35023
../../data/benign/benign3_11,75124,37031
../../data/benign/benign3_12,21010,29289
../../data/benign/benign3_13,16006,34294
../../data/benign/benign3_14,16048,34331
../../data/benign/benign3_15,15861,33702
../../data/benign/benign3_16,16215,34590
../../data/benign/benign3_17,25449,34208
../../data/benign/benign3_18,75497,37343
../../data/benign/benign3_19,75376,37337
../../data/benign/benign3_20,55638,33100
../../data/benign/benign3_21,56714,30812
../../data/benign/benign3_22,50445,37386
../../data/benign/benign3_23,15742,33672
../../data/benign/benign3_24,16215,34664
../../data/benign/benign3_25,16025,34022
../../data/benign/benign3_26,16241,34667
../../data/benign/benign3_27,17564,33468
../../data/benign/benign3_28,75469,37354
../../data/benign/benign3_29,75223,37347
../../data/benign/benign3_30,75392,37330
../../data/benign/benign3_31,16542,29538
../../data/benign/benign3_32,15852,33961
../../data/benign/benign3_33,15528,33289
../../data/benign/benign3_34,15559,33319
../../data/benign/benign3_35,16029,34523
../../data/benign/benign3_36,23240,33264
../../data/benign/benign3_37,75479,37366
../../data/benign/benign3_38,75269,37291
../../data/benign/benign3_39,63127,36216
../../data/benign/benign3_40,13504,28029
../../data/benign/benign3_41,15734,33621
../../data/benign/benign3_42,15795,33774
../../data/benign/benign3_43,15674,33177
../../data/benign/benign3_44,15617,33631
../../data/benign/benign3_45,29402,33762
../../data/benign/benign3_46,75482,37369
../../data/benign/benign3_47,75252,37309
../../data/benign/benign3_48,59937,32213
../../data/benign/benign3_49,15472,32558
