363931	3892301
9394	4988008
2478	4993559
2459	4993625
2686	4992905
2659	4992930
4514	4991673
8609	4987097
2738	4992763
2638	4993166
2754	4993193
2613	4992921
2749	4993002
2666	4992890
2689	4993264
2655	4993160
2802	4993075
2804	4993378
2894	4993291
2716	4993270
2880	4994795
2841	4993395
2505	4993659
2506	4993552
2497	4993723
2457	4993611
2427	4993739
4201	4992724
12846	4984404
2364	4993614
2416	4993919
2554	4993826
2393	4993611
2461	4993729
2372	4993592
2524	4993447
2315	4993650
2509	4993427
2529	4993272
2336	4993698
2346	4994033
177388	3956613
191218	3550482
58474	4893150
9150	4980638
12252	4975843
8489	4981836
7084	4980954
6701	4981974
6636	4982856
6628	4982017
21508	4973517
6776	4981929
6619	4981606
6519	4981796
6707	4981809
6651	4981940
6569	4982205
30377	4924035
457344	3933492
419622	4103492
383595	3167800
336087	4240273
502341	3854194
399835	4147102
390596	3472758
