3885	4829501
735	1847000
8376	4288819
3870	4527013
2587	4460481
9809	4189309
4856	4426313
2382	4780074
7246	4282998
5499	4213096
2378	4755780
3211	4824552
11210	4411016
20750	4401030
9177	4690135
5592	4384735
12145	4282644
8544	4232301
11676	4487153
8102	4688237
10850	4522430
13446	3381665
7097	4562474
12166	4228930
7209	4117466
14550	4266231
4511	4706540
8394	4040070
10761	4240083
6654	4316590
14885	4253101
2365	4705310
10476	4381111
21106	4432941
28658	4358721
25448	4492849
19803	3908864
25615	4400538
12280	4696699
22843	4146686
21680	4437132
19852	4395338
17891	4171285
20342	4450999
18476	4457056
22992	4468886
17933	4202833
7587	4137367
7890	4572821
22880	4349881
1556	1118071
