254173	933443
263715	968669
281668	1014319
277747	1022490
274344	1008835
244902	930348
275658	993646
259524	966400
278929	1022824
273342	997713
245109	915925
270295	997461
281961	1038569
266378	985895
266050	953310
274209	1006419
274891	1022159
259072	959539
258318	975595
269896	991220
270090	994861
279878	1007033
259405	947240
251524	875261
267629	942421
272149	995542
278880	993340
270487	980257
268493	979303
253527	943056
304593	1117635
277020	1034030
291083	1051603
259628	965058
278666	1036422
237468	899066
262724	971641
272276	1006313
266515	971923
278923	1013763
273261	1001274
264339	944036
269317	997417
274552	1021158
264620	972780
278990	996303
273476	981745
276693	1011063
255274	916825
272948	991864
276276	997480
269322	1000695
257911	961321
280269	1041705
272971	1002442
272965	1005047
261802	966179
276008	1002433
282594	1039797
284809	1044266
265434	981144
272203	1010986
279447	1014017
283131	1016456
249330	920103
257354	947210
280849	1018655
273406	1001712
267817	989739
285222	1035952
274850	1004895
275261	1009086
218927	805345
261308	958279
265077	970696
248838	917927
273119	991793
259064	970875
254811	949700
264989	984237
271394	993344
271085	976504
254796	929933
263195	964762
257805	939222
262451	942881
238926	900169
243867	924894
275571	1024881
270679	989591
258353	964272
254734	953585
252137	932476
254412	981159
270309	982873
263201	974618
266601	982166
272390	994629
273547	1008346
253927	939013
249661	933595
264185	959482
286216	1045925
258783	932172
257286	957343
262531	1007113
260921	960162
254065	947269
244553	916191
238840	890880
267666	990984
227047	822856
237719	869133
251752	929144
266105	972975
281283	1028288
256102	942320
257105	948557
265735	966449
255586	917244
276637	1014384
274447	992802
251316	923688
258152	956875
245004	952865
